"","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station.km.","distance_class"
"1","1/18 Fourth Avenue Eastwood 2122",3,2,2,1366666,2022-11-18,-33.794867756681,151.085320436901,0.628157343314812,"(0.5,0.75]"
"2","7/4-6 Lincoln Street Eastwood 2122",3,2,2,1600000,2022-06-07,-33.7804611510506,151.095312755134,1.61196274026109,"(1.5,1.75]"
"3","1/12A Darvall Road Eastwood 2122",3,3,2,1950000,2022-06-01,-33.7910741911228,151.070905910372,1.04383791556203,"(1,1.25]"
"4","Townhouse/2 Waratah Street Eastwood 2122",5,3,2,2090000,2022-03-02,-33.7909957365091,151.09881563629,1.55125163813802,"(1.5,1.75]"
"5","7/17 Woorang Street Eastwood 2122",3,2,1,1515000,2022-02-03,-33.7892075412856,151.103195432156,1.95318788657492,"(1.75,2]"
"6","1/20 Alexandria Avenue Eastwood 2122",4,2,2,1950000,2021-08-03,-33.7877253274376,151.091130856001,0.869870892725081,"(0.75,1]"
"7","31 Avondale Way Eastwood 2122",4,2,2,1910000,2021-07-31,-33.7836122018209,151.072860654012,1.10482863863911,"(1,1.25]"
"8","1/13 Corunna Road Eastwood 2122",5,3,2,1880000,2021-03-09,-33.7834084796642,151.09143050904,1.12578887815406,"(1,1.25]"
"9","1/50 Denistone Road Eastwood 2122",3,2,2,1030000,2020-11-28,-33.7929053436,151.088496423833,0.679782902214134,"(0.5,0.75]"
"10","39 Birchgrove Crescent Eastwood 2122",3,2,2,1520000,2020-10-03,-33.7848041922715,151.071728929445,1.11465531074596,"(1,1.25]"
"11","1/19 Alexandria Ave Eastwood 2122",5,3,2,1628000,2019-12-06,-33.7878713821004,151.090404731729,0.800826587199575,"(0.75,1]"
"12","1/28 Lincoln Street Eastwood 2122",4,3,2,1545000,2019-11-22,-33.7815743935209,151.097275880676,1.68237619802924,"(1.5,1.75]"
"13","2/27-29 Munro Street Eastwood 2122",3,2,2,1250000,2019-10-28,-33.784281622518,151.091780034402,1.09235534954766,"(1,1.25]"
"14","109 Vimiera Road Eastwood 2122",5,3,2,1400000,2019-10-03,-33.7798936542961,151.094150017525,1.57598704901354,"(1.5,1.75]"
"15","109C Vimiera Road Eastwood 2122",5,3,2,1320000,2019-09-14,-33.7798936542961,151.094150017525,1.57598704901354,"(1.5,1.75]"
"16","3/19 Alexandria Avenue Eastwood 2122",3,2,2,1150000,2019-04-04,-33.7878713821004,151.090404731729,0.800826587199575,"(0.75,1]"
"17","1/18 Fourth Avenue Eastwood 2122",3,2,2,1068000,2018-11-14,-33.794867756681,151.085320436901,0.628157343314812,"(0.5,0.75]"
"18","1/45a Terry Road Eastwood 2122",3,1,1,1025000,2018-08-03,-33.7894787377629,151.070427806615,1.08088135393763,"(1,1.25]"
"19","1/69 Tarrants Avenue Eastwood 2122",3,2,2,1060000,2018-07-28,-33.7980289914636,151.07683602305,1.02762755592768,"(1,1.25]"
"20","13 Terry Road Eastwood 2122",4,3,1,1625000,2018-05-26,-33.7884004897384,151.074373084621,0.734097302658651,"(0.5,0.75]"
"21","6/601 Blaxland Ave Eastwood 2122",3,2,2,1545000,2017-07-27,-33.790178626678,151.08682331214,0.438079123735238,"(0.25,0.5]"
"22","1/22 Sheehan Street Eastwood 2122",3,3,2,1450000,2017-04-11,-33.7895847269285,151.098159668547,1.48618838651796,"(1.25,1.5]"
"23","6/22 Sheehan Street Eastwood 2122",3,3,2,1500000,2016-12-17,-33.7895847269285,151.098159668547,1.48618838651796,"(1.25,1.5]"
"24","4/29-31 Rutledge Street Eastwood 2122",3,2,1,1100000,2016-10-13,-33.7939908419708,151.074374258087,0.847482673252435,"(0.75,1]"
"25","4/15-19 Woorang Street Eastwood 2122",4,2,2,1350000,2016-05-16,-33.789032820514,151.10309811826,1.94506206484582,"(1.75,2]"
"26","7/15-19 Woorang Street Eastwood 2122",3,2,1,1270000,2016-05-16,-33.789032820514,151.10309811826,1.94506206484582,"(1.75,2]"
"27","7/8 Birchgrove Crescent Eastwood 2122",3,2,2,1200000,2015-11-14,-33.7842568120846,151.07230937624,1.10233117327426,"(1,1.25]"
"28","1/575 Blaxland Road Eastwood 2122",3,1,2,952000,2015-06-15,-33.7915372493637,151.089151637205,0.677361493322606,"(0.5,0.75]"
"29","7/9 Cocos Avenue Eastwood 2122",3,2,2,1e+06,2015-06-06,-33.7827198644088,151.081980835219,0.799365071949157,"(0.75,1]"
"30","61 Birchgrove Crescent Eastwood 2122",3,2,1,905000,2014-11-21,-33.7856446037933,151.071898662984,1.05601687684226,"(1,1.25]"
"31","4/69 Tarrants Avenue Eastwood 2122",4,2,2,1201000,2014-10-11,-33.7980289914636,151.07683602305,1.02762755592768,"(1,1.25]"
"32","4/36 Balaclava Road Eastwood 2122",3,2,2,920000,2014-09-12,-33.7852786499007,151.090792562389,0.954685770592394,"(0.75,1]"
"33","8/8 Lovell Road Eastwood 2122",3,1,1,968000,2014-08-23,-33.7914953817574,151.090068701231,0.758312882347959,"(0.75,1]"
"34","10/69 Terry Road Eastwood 2122",4,2,2,950000,2014-07-22,-33.7898563425009,151.067244946522,1.37433435825837,"(1.25,1.5]"
"35","TH5/8 Birchgrove Crescent Eastwood 2122",3,2,2,1038888,2014-06-20,-33.7842568120846,151.07230937624,1.10233117327426,"(1,1.25]"
"36","2/69-71 Tarrants Avenue Eastwood 2122",4,2,4,8e+05,2014-05-17,-33.7980289914636,151.07683602305,1.02762755592768,"(1,1.25]"
"37","2/69 Tarrants Avenue Eastwood 2122",4,2,4,8e+05,2014-05-17,-33.7980289914636,151.07683602305,1.02762755592768,"(1,1.25]"
"38","3/8 Birchgrove Crescent Eastwood 2122",3,2,2,888888,2014-01-28,-33.7842568120846,151.07230937624,1.10233117327426,"(1,1.25]"
"39","498 Blaxland Road Eastwood 2122",2,2,1,882500,2013-11-26,-33.7928749877236,151.090064168512,0.807803892054298,"(0.75,1]"
"40","8/8 Birchgrove Crescent Eastwood 2122",3,2,2,888888,2013-09-26,-33.7842568120846,151.07230937624,1.10233117327426,"(1,1.25]"
"41","4/8 Birchgrove Crescent Eastwood 2122",3,2,2,888888,2013-09-26,-33.7842568120846,151.07230937624,1.10233117327426,"(1,1.25]"
"42","2/8 Birchgrove Crescent Eastwood 2122",3,2,2,888888,2013-09-26,-33.7842568120846,151.07230937624,1.10233117327426,"(1,1.25]"
"43","6/7 Corunna Road Eastwood 2122",2,NA,NA,565000,2013-05-01,-33.7837610225118,151.092378167013,1.17101609201398,"(1,1.25]"
"44","4/9 Cocos Avenue Eastwood 2122",3,2,2,780000,2013-04-09,-33.7827198644088,151.081980835219,0.799365071949157,"(0.75,1]"
"45","5/11 Clanalpine Street Eastwood 2122",2,1,1,680000,2013-04-01,-33.7934871314994,151.080783145074,0.417488262160876,"(0.25,0.5]"
"46","3/143 Balaclava Road Eastwood 2122",3,2,2,788000,2012-11-12,-33.7867778371027,151.085976823739,0.499442667981532,"(0.25,0.5]"
"47","19B Gordon Street Eastwood 2122",3,2,1,725000,2012-11-01,-33.7886594905465,151.089241575026,0.674989348037286,"(0.5,0.75]"
"48","1/21 Second Avenue Eastwood 2122",2,1,1,455000,2012-11-01,-33.7931036594292,151.08607799331,0.512467952458331,"(0.5,0.75]"
"49","4/36 Balaclava Road Eastwood 2122",3,2,2,688000,2012-09-29,-33.7852786499007,151.090792562389,0.954685770592394,"(0.75,1]"
"50","7/49 Terry Road Eastwood 2122",4,2,2,750000,2012-09-01,-33.7895045121152,151.069763876065,1.14213639760224,"(1,1.25]"
"51","2/14 Eric Street Eastwood 2122",3,2,2,635000,2012-07-01,-33.7936686835222,151.069314689873,1.25501258018766,"(1.25,1.5]"
"52","11/36 Lovell Road Eastwood 2122",2,1,NA,510000,2012-06-01,-33.7910111173014,151.09345708559,1.05795701967183,"(1,1.25]"
"53","2/41 Balaclava Road Eastwood 2122",3,2,2,676500,2012-06-01,-33.7857505510495,151.090914267623,0.937213423672063,"(0.75,1]"
"54","3/23 Vimiera Road Eastwood 2122",4,2,2,825000,2012-05-18,-33.7846799724664,151.086604879744,0.715105612305702,"(0.5,0.75]"
"55","1/167 North Road Eastwood 2122",3,2,2,820000,2012-05-18,-33.7904403096952,151.101387455641,1.78539990726345,"(1.75,2]"
"56","2/167 North Road Eastwood 2122",2,2,2,1120000,2012-04-01,-33.7904403096952,151.101387455641,1.78539990726345,"(1.75,2]"
"57","1/9 Threlfall Street Eastwood 2122",3,2,2,665000,2012-03-01,-33.7849213712779,151.096248678442,1.4215035359168,"(1.25,1.5]"
"58","16/10 Ethel Street Eastwood 2122",2,1,1,545000,2012-03-01,-33.7896669114892,151.083664591929,0.147056711084311,"(0,0.25]"
"59","17 Avondale Way Eastwood 2122",3,2,2,903888,2012-03-01,-33.7838952167816,151.073330375866,1.05124855227919,"(1,1.25]"
"60","4/4 Rutledge Street Eastwood 2122",2,1,NA,548000,2012-02-01,-33.7931176572075,151.081072236915,0.370593148938349,"(0.25,0.5]"
"61","3/12 Woorang Street Eastwood 2122",3,2,3,765000,2012-01-01,-33.7889775418625,151.102196309297,1.86206740526319,"(1.75,2]"
"62","7/18 Wentworth Road Eastwood 2122",3,1,2,7e+05,2012-01-01,-33.7974329543288,151.075062831433,1.06161078176494,"(1,1.25]"
"63","3/167 North Road Eastwood 2122",3,2,2,750000,2011-12-01,-33.7904403096952,151.101387455641,1.78539990726345,"(1.75,2]"
"64","7/36 Lovell Road Eastwood 2122",3,1,1,1123000,2011-12-01,-33.7910111173014,151.09345708559,1.05795701967183,"(1,1.25]"
"65","1/12 Woorang Street Eastwood 2122",4,2,2,899000,2011-10-04,-33.7889775418625,151.102196309297,1.86206740526319,"(1.75,2]"
"66","15/36 Balaclava Road Eastwood 2122",3,2,2,692000,2011-09-16,-33.7851247162489,151.090541524389,0.944739670001362,"(0.75,1]"
"67","1/11 Trelawney Street Eastwood 2122",2,2,1,1180000,2011-09-01,-33.7939012813353,151.079963394944,0.487309867687424,"(0.25,0.5]"
"68","2/15A Trelawney Street Eastwood 2122",3,2,2,6e+05,2011-09-01,-33.7951046711742,151.080241841767,0.604345575074273,"(0.5,0.75]"
"69","8/9-11 Threlfall Street Eastwood 2122",3,2,1,605000,2011-09-01,-33.7849213712779,151.096248678442,1.4215035359168,"(1.25,1.5]"
"70","1/4-6 Lincoln Street Eastwood 2122",3,2,2,865000,2011-08-23,-33.7804611510506,151.095312755134,1.61196274026109,"(1.5,1.75]"
"71","1/4-6 Lincoln Street Eastwood 2122",3,2,2,865000,2011-08-23,-33.7804611510506,151.095312755134,1.61196274026109,"(1.5,1.75]"
"72","2/23 Vimiera Road Eastwood 2122",3,2,1,765000,2011-08-01,-33.7846799724664,151.086604879744,0.715105612305702,"(0.5,0.75]"
"73","1/23 Vimiera Road Eastwood 2122",3,2,2,755000,2011-08-01,-33.7846799724664,151.086604879744,0.715105612305702,"(0.5,0.75]"
"74","3/20 Lincoln Street Eastwood 2122",3,1,2,695000,2011-06-01,-33.7811750796536,151.096553276804,1.6527246597154,"(1.5,1.75]"
"75","4/582 Blaxland Road Eastwood 2122",2,1,2,550000,2011-05-21,-33.7884236657007,151.085357820189,0.343296385010557,"(0.25,0.5]"
"76","1/4-6 Denistone Road Eastwood 2122",3,1,2,655500,2011-04-10,-33.7920913769827,151.087620179675,0.565967532016128,"(0.5,0.75]"
"77","1/4 Denistone Road Eastwood 2122",3,1,2,655500,2011-04-09,-33.7920913769827,151.087620179675,0.565967532016128,"(0.5,0.75]"
"78","4/145 BALACLAVA ROAD Eastwood 2122",3,2,2,760000,2011-03-29,-33.7858229287834,151.087184823624,0.653680132541247,"(0.5,0.75]"
"79","4/44 Fourth Avenue Eastwood 2122",2,1,1,866000,2011-03-01,-33.7941542471732,151.088225101628,0.738495248905704,"(0.5,0.75]"
"80","3/11 Trelawney Street Eastwood 2122",2,2,1,585000,2011-03-01,-33.7939012813353,151.079963394944,0.487309867687424,"(0.25,0.5]"
"81","2 17 Gordon Street Eastwood 2122",2,1,1,550000,2011-01-01,-33.788443111716,151.089187260293,0.675447647215409,"(0.5,0.75]"
"82","2/17 Gordon Street Eastwood 2122",2,1,1,550000,2010-12-01,-33.788443111716,151.089187260293,0.675447647215409,"(0.5,0.75]"
"83","24 Fonti Street Eastwood 2122",4,1,3,765000,2010-11-26,-33.7866955268135,151.097516944212,1.47026638110489,"(1.25,1.5]"
"84","4/64 Rutledge Street Eastwood 2122",3,2,NA,755000,2010-11-01,-33.7951546273172,151.07295863846,1.02827763754142,"(1,1.25]"
"85","2/577 Blaxland Road Eastwood 2122",2,1,1,860000,2010-11-01,-33.7914411508438,151.08896681624,0.658040045184476,"(0.5,0.75]"
"86","1/40 Denistone Road Eastwood 2122",2,1,2,570000,2010-11-01,-33.7929053436,151.088496423833,0.679782902214134,"(0.5,0.75]"
"87","5/26-28 Brush Road Eastwood 2122",3,2,2,528000,2010-09-30,-33.7931614526516,151.069234810336,1.24435232521102,"(1,1.25]"
"88","8/18 Wentworth Road Eastwood 2122",3,1,2,680000,2010-09-01,-33.7974329543288,151.075062831433,1.06161078176494,"(1,1.25]"
"89","1/21 Alexandria Avenue Eastwood 2122",3,1,1,704000,2010-08-01,-33.7880468153339,151.090456112796,0.800131435223813,"(0.75,1]"
"90","2/17 Clanwilliam Street Eastwood 2122",3,1,1,650000,2010-07-28,-33.7956775742563,151.075983248221,0.856660091863453,"(0.75,1]"
"91","1/602-604 Blaxland Road Eastwood 2122",2,1,2,560000,2010-07-07,-33.7867915415144,151.08483571144,0.428716892595822,"(0.25,0.5]"
"92","2/112 Vimiera Road Eastwood 2122",3,2,1,599900,2010-05-01,-33.7794127006919,151.095794127833,1.72284792002489,"(1.5,1.75]"
"93","3/112 Vimiera Road Eastwood 2122",3,2,1,599900,2010-05-01,-33.7794127006919,151.095794127833,1.72284792002489,"(1.5,1.75]"
"94","4/4 Susan Place Eastwood 2122",3,2,1,1290000,2010-05-01,-33.7870501232273,151.096161841925,1.33908518272625,"(1.25,1.5]"
"95","4/30 Fourth Avenue Eastwood 2122",3,1,1,608000,2010-04-01,-33.7945502501887,151.086766566656,0.674059841147863,"(0.5,0.75]"
