"","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
"1","4/53 Kirkham Road Auburn 2144",4,2,2,850000,2023-02-28,-33.87161552155,151.01782868198,2877.32788990104
"2","7/55-57 Susan Street Auburn 2144",4,3,2,880000,2023-02-24,-33.8570242206832,151.032492234852,894.047243702101
"3","7/53 Kirkham Road Auburn 2144",4,2,2,788880,2022-12-15,-33.87161552155,151.01782868198,2877.32788990104
"4","11/17-21 Kirkham Road Auburn 2144",3,1,2,710000,2022-11-28,-33.8720158412457,151.020772993109,2796.62026797535
"5","4/27 Louisa Street Auburn 2144",3,2,2,811118,2022-11-16,-33.8572866999811,151.035094145236,944.509581324489
"6","19/17-21 Kirkham Road Auburn 2144",2,1,1,575000,2022-11-11,-33.8720158412457,151.020772993109,2796.62026797535
"7","34/18 Cockthorpe Road Auburn 2144",3,2,2,770000,2022-11-03,-33.8604458811974,151.036149678303,1309.08692780715
"8","1/53 Kirkham Road Auburn 2144",3,2,1,740000,2022-10-31,-33.87161552155,151.01782868198,2877.32788990104
"9","2/42 Helena Street Auburn 2144",3,2,1,865000,2022-10-29,-33.8576023624547,151.032826840427,957.634491947842
"10","44 Princeton Cct Auburn 2144",3,2,2,7e+05,2022-10-04,-33.8736835047014,151.017071125571,3113.05334955736
"11","3/5 New Street Auburn 2144",2,1,1,610000,2022-09-29,-33.864862096433,151.023547319241,1966.06938721746
"12","4/7 Kennington Oval Auburn 2144",3,2,2,691000,2022-09-19,-33.8724478026258,151.021767170644,2805.74323397359
"13","3/3 St Johns Avenue Auburn 2144",3,2,2,8e+05,2022-09-13,-33.8719751890153,151.023717723332,2694.75702399304
"14","21/277 Park Road Auburn 2144",3,1,1,6e+05,2022-08-29,-33.8706394489252,151.025656876632,2500.21326241141
"15","8/17 Kirkham Road Auburn 2144",3,2,2,678000,2022-07-29,-33.8720158412457,151.020772993109,2796.62026797535
"16","3/30-32 St Johns Road Auburn 2144",3,2,2,790000,2022-07-27,-33.8714475063008,151.020110990396,2764.38955490545
"17","1/277 Park Road Auburn 2144",3,1,1,570000,2022-07-25,-33.8706394489252,151.025656876632,2500.21326241141
"18","2/10-12 Hevington Road Auburn 2144",3,2,1,8e+05,2022-06-24,-33.8585786865366,151.034586118085,1077.62760884278
"19","4/45-47 Marion Street Auburn 2144",4,3,2,820000,2022-06-21,-33.856482749738,151.033953284395,838.648007577693
"20","3 Castle Street Auburn 2144",3,2,1,830000,2022-05-27,-33.8734620967291,151.01988811559,2976.91865463762
"21","9/21-23 Hargrave Road Auburn 2144",3,2,1,585000,2022-05-26,-33.8600562903378,151.032106751125,1232.96332852798
"22","6/320-322 Chisholm Road Auburn 2144",4,2,2,830000,2022-05-06,-33.871464982569,151.017474378933,2878.75897641245
"23","2/11 New Street Auburn 2144",3,1,2,680000,2022-04-21,-33.8652530283971,151.023540362261,2005.52180406639
"24","5/7-9 Helena Street Auburn 2144",3,2,2,730000,2022-04-06,-33.8573922281421,151.036245483456,984.082754260867
"25","1/57-59 Norval Street Auburn 2144",4,1,2,850000,2022-04-06,-33.8589897350683,151.032325602617,1113.31929527144
"26","8/273-275 Park Road Auburn 2144",3,2,2,650000,2022-04-05,-33.8703318330787,151.025674562448,2466.79457924359
"27","7/27 Louisa Street Auburn 2144",3,2,2,828000,2022-04-01,-33.8572866999811,151.035094145236,944.509581324489
"28","5/24-28 Norval Street Auburn 2144",4,2,2,8e+05,2022-03-22,-33.8599075115565,151.034442368445,1222.5618752164
"29","1/55 Northumberland Rd Auburn 2144",3,2,1,730000,2022-03-05,-33.8461776607885,151.036262247263,441.970797055811
"30","29/18 Cockthorpe Rd Auburn 2144",4,2,3,840000,2022-03-04,-33.8606256730206,151.036044988332,1326.42006438767
"31","19/28 Elsham Road Auburn 2144",4,3,2,850000,2022-03-03,-33.8607656927131,151.035717591194,1335.40025829319
"32","2/72-74 Water Street Auburn 2144",3,2,1,732000,2022-02-25,-33.8612766954402,151.033900478405,1369.76159602614
"33","2/17 Kirkham Road Auburn 2144",3,2,2,7e+05,2022-02-22,-33.8720158412457,151.020772993109,2796.62026797535
"34","2/64 Harrow Road Auburn 2144",3,2,1,740000,2022-02-21,-33.8574419747374,151.03055500939,964.437100430219
"35","3/273-275 Park Road Auburn 2144",3,2,2,660000,2022-02-18,-33.8703318330787,151.025674562448,2466.79457924359
"36","6/118 Harrow Road Auburn 2144",4,3,2,840000,2022-02-17,-33.860749683278,151.030010018046,1334.97555179002
"37","2/219 Auburn Road Auburn 2144",3,3,2,850000,2022-02-15,-33.8611436327273,151.030537072118,1369.35827160849
"38","6/18 Gibbons Street Auburn 2144",4,3,2,985000,2022-02-12,-33.8457433524755,151.032272042256,367.147661765297
"39","2/20 Kennington Oval Auburn 2144",3,3,2,780000,2022-02-10,-33.8734114281244,151.0226279921,2878.58254704074
"40","12/17-21 Kirkham Road Auburn 2144",2,1,1,6e+05,2022-02-08,-33.8720158412457,151.020772993109,2796.62026797535
"41","1/1A Raglan Road Auburn 2144",2,1,1,625000,2022-02-04,-33.8737999712461,151.024983809807,2856.05460780517
"42","9/17-21 Kirkham Road Auburn 2144",3,2,2,680500,2022-01-20,-33.8720158412457,151.020772993109,2796.62026797535
"43","2/57 MARY ST Auburn 2144",2,1,2,6e+05,2022-01-12,-33.8505286229078,151.023119339264,920.103597070674
"44","1/80 Harrow Rd Auburn 2144",3,2,2,7e+05,2021-12-24,-33.8583988947134,151.03039659142,1071.57029345613
"45","2/273 Park Road Auburn 2144",3,2,1,640000,2021-12-22,-33.8703318330787,151.025674562448,2466.79457924359
"46","2/21 Hargrave Road Auburn 2144",3,1,1,620000,2021-12-10,-33.8600562903378,151.032106751125,1232.96332852798
"47","2/53 Kirkham Road Auburn 2144",3,2,1,710500,2021-12-04,-33.87161552155,151.01782868198,2877.32788990104
"48","1/17-21 Kirkham Road Auburn 2144",3,2,1,711000,2021-11-23,-33.8720158412457,151.020772993109,2796.62026797535
"49","12A/114-120 Auburn Road Auburn 2144",3,2,1,705000,2021-11-22,-33.8578299311259,151.031899131384,987.288762362853
"50","27 Cockthorpe Road Auburn 2144",4,4,2,990000,2021-11-17,-33.8602434582358,151.036894075124,1304.9433823572
"51","4/28 Elsham Road Auburn 2144",4,2,2,9e+05,2021-11-06,-33.8605695980883,151.035382566524,1308.21011698892
"52","4/118 Harrow Road Auburn 2144",3,3,2,795000,2021-11-05,-33.860749683278,151.030010018046,1334.97555179002
"53","3/277 Park Road Auburn 2144",3,1,1,590000,2021-10-23,-33.8706394489252,151.025656876632,2500.21326241141
"54","2 Holly Way Auburn 2144",2,1,1,518000,2021-10-21,-33.8738286373549,151.0196344792,3023.7189930805
"55","5/27 Louisa Street Auburn 2144",3,2,2,750000,2021-10-20,-33.8572866999811,151.035094145236,944.509581324489
"56","4/40 St Johns Road Auburn 2144",3,2,2,768000,2021-10-19,-33.8713198499155,151.019171714326,2789.958153938
"57","6/1-3 Kennington Oval Auburn 2144",3,2,1,710300,2021-10-11,-33.8719987421632,151.021853839523,2756.32197280564
"58","7 Kirkham Road Auburn 2144",3,2,2,828000,2021-10-02,-33.8728033629585,151.021678071014,2845.59388157527
"59","3/39-41 Karrabah Road Auburn 2144",3,2,2,670000,2021-07-30,-33.8438658061642,151.032136003967,575.884112437092
"60","4/13 St Johns Road Auburn 2144",4,3,2,898000,2021-07-30,-33.8712719473388,151.023935652815,2614.11894785623
"61","3/56 Susan Street Auburn 2144",3,2,1,725000,2021-07-22,-33.8568291318867,151.033317936134,872.390992177545
"62","15 Castle Street Auburn 2144",3,2,1,788000,2021-07-08,-33.8738499692985,151.019828687897,3018.6591381455
"63","13 Castle Street Auburn 2144",3,2,2,815000,2021-06-10,-33.8738059223973,151.019833381763,3013.99265039833
"64","14/1-3 Kennington Oval Auburn 2144",3,2,1,715000,2021-06-08,-33.8719987421632,151.021853839523,2756.32197280564
"65","3/128 Auburn Road Auburn 2144",3,1,1,675000,2021-06-05,-33.8588216779096,151.031846409213,1097.6740898354
"66","4/45 Kirkham Road Auburn 2144",4,3,2,847500,2021-06-03,-33.8717008074148,151.018456737985,2858.06034941912
"67","2/35 Kirkham Avenue Auburn 2144",2,2,1,7e+05,2021-05-20,-33.8718144660219,151.019292497551,2834.1287165152
"68","9/13-15 Kirkham Road Auburn 2144",4,2,2,9e+05,2021-05-06,-33.8720846985802,151.021277164585,2785.33708198308
"69","1/69 MACQUARIE ROAD Auburn 2144",3,1,1,6e+05,2021-04-26,-33.8436909177544,151.036498868389,678.230620062844
"70","1/18 Gibbons Street Auburn 2144",4,3,2,925000,2021-04-20,-33.8457433524755,151.032272042256,367.147661765297
"71","1/35 Kirkham Avenue Auburn 2144",2,1,1,695000,2021-04-12,-33.8718144660219,151.019292497551,2834.1287165152
"72","3/21-23 Hargrave Road Auburn 2144",3,1,1,610000,2021-04-12,-33.8600562903378,151.032106751125,1232.96332852798
"73","3/219 Auburn Road Auburn 2144",3,3,2,8e+05,2021-03-31,-33.8611436327273,151.030537072118,1369.35827160849
"74","5/38 St Johns Road Auburn 2144",3,3,2,730000,2021-03-30,-33.8713482645673,151.019380675172,2784.051224968
"75","7/35-37 Elsham Road Auburn 2144",3,2,2,718000,2021-03-27,-33.8610523118922,151.034672451687,1351.62586528711
"76","11/273 Park road Auburn 2144",3,2,1,650000,2021-03-10,-33.8703318330787,151.025674562448,2466.79457924359
"77","2/45-47 Marion Street Auburn 2144",3,2,2,738000,2021-03-08,-33.856482749738,151.033953284395,838.648007577693
"78","6/3-5 Louisa Street Auburn 2144",4,3,2,840000,2021-03-03,-33.8558867545127,151.035424727497,801.373811281352
"79","4/35 Kirkham Avenue Auburn 2144",3,2,1,780000,2021-03-01,-33.8718144660219,151.019292497551,2834.1287165152
"80","6/35 Kirkham Road Auburn 2144",3,2,2,765000,2021-02-25,-33.8718144660219,151.019292497551,2834.1287165152
"81","3/57 Mary Steet Auburn 2144",2,1,1,520000,2021-02-23,-33.8505286229078,151.023119339264,920.103597070674
"82","42/18 Cockthorpe Road Auburn 2144",4,2,3,798000,2021-02-18,-33.8606495614446,151.036288650258,1334.12357923258
"83","6/27 Louisa St Auburn 2144",3,2,2,712000,2021-02-16,-33.8572866999811,151.035094145236,944.509581324489
"84","3/35 Kirkham Avenue Auburn 2144",3,2,1,750000,2021-02-12,-33.8718144660219,151.019292497551,2834.1287165152
"85","9/24-28 Norval Street Auburn 2144",3,2,2,680000,2021-02-08,-33.8599075115565,151.034442368445,1222.5618752164
"86","5 Kirkham Rd Auburn 2144",3,3,2,718000,2021-01-30,-33.8728033629585,151.021678071014,2845.59388157527
"87","40 Princeton Cct Auburn 2144",3,2,2,770000,2021-01-22,-33.8735488494269,151.017091828872,3098.9282093568
"88","4/35-37 Elsham Road Auburn 2144",2,2,1,657000,2020-12-02,-33.8610523118922,151.034672451687,1351.62586528711
"89","20/17-21 Kirkham Rd Auburn 2144",2,1,1,528000,2020-11-24,-33.8720158412457,151.020772993109,2796.62026797535
"90","4/29 St Johns Road Auburn 2144",3,2,2,620000,2020-11-16,-33.87105196429,151.022325824491,2642.265415854
"91","5/1-3 Kennington Oval Auburn 2144",3,2,1,680000,2020-11-02,-33.8719987421632,151.021853839523,2756.32197280564
"92","10/21-23 Hargrave Road Auburn 2144",3,1,1,630000,2020-10-30,-33.8600562903378,151.032106751125,1232.96332852798
"93","7/7-9 Helena Street Auburn 2144",3,2,1,730000,2020-10-30,-33.8573922281421,151.036245483456,984.082754260867
"94","10/124-126 Auburn Road Auburn 2144",4,3,2,750000,2020-10-23,-33.8583249663274,151.031805840801,1042.96714260109
"95","17/17-21 Kirkham Rd Auburn 2144",3,2,2,7e+05,2020-10-21,-33.8720158412457,151.020772993109,2796.62026797535
"96","5/54 St John's road Auburn 2144",3,1,2,648000,2020-10-15,-33.8711478113528,151.017906466042,2828.35646122294
"97","1/3-5 louisa St Auburn 2144",4,3,2,895000,2020-09-18,-33.8558867545127,151.035424727497,801.373811281352
"98","3/11 New Street Auburn 2144",3,1,2,625000,2020-07-17,-33.8652530283971,151.023540362261,2005.52180406639
"99","18/17-21 Kirkham Road Auburn 2144",2,1,1,560000,2020-06-26,-33.8720158412457,151.020772993109,2796.62026797535
"100","7/78-80 Helena St Auburn 2144",2,1,1,515000,2020-05-13,-33.8570823491817,151.029387075002,956.541182770238
"101","9/17-21 Kirkham Rd Auburn 2144",3,3,2,650000,2020-05-08,-33.8720158412457,151.020772993109,2796.62026797535
"102","3/9A-11 Louisa Street Auburn 2144",3,2,1,630000,2020-05-06,-33.8563190930785,151.035322635917,844.980192905433
"103","3/89 Harrow Road Auburn 2144",2,1,1,550000,2020-04-24,-33.8596412604021,151.029519173796,1225.11743781502
"104","1/75 Dartbrook Rd Auburn 2144",3,2,2,655000,2020-04-09,-33.8472284161706,151.039104047715,606.537590758241
"105","60 Princeton CCT Auburn 2144",3,3,4,770000,2020-04-04,-33.8740449323664,151.018385910903,3094.01447514813
"106","1/11 New Street Auburn 2144",3,1,2,670000,2020-03-16,-33.8652530283971,151.023540362261,2005.52180406639
"107","14/17-21 Kirkham Road Auburn 2144",3,2,1,685000,2020-03-13,-33.8720158412457,151.020772993109,2796.62026797535
"108","26/18 Cockthorpe Road Auburn 2144",5,3,2,840000,2020-03-13,-33.8606006530396,151.035877769364,1320.39350479118
"109","4/9A-11 Louisa St Auburn 2144",3,1,1,638000,2020-03-11,-33.8563190930785,151.035322635917,844.980192905433
"110","1/33 Macquarie Road Auburn 2144",2,1,1,495000,2020-03-06,-33.8456274726641,151.034940672589,420.168582028118
"111","1/45 Edgar Street Auburn 2144",3,2,2,615800,2020-02-22,-33.8541757566175,151.023590569861,1035.70122668688
"112","1/24-28 Norval Street Auburn 2144",4,3,2,770000,2020-02-04,-33.8599075115565,151.034442368445,1222.5618752164
"113","3/24-28 Norval Street Auburn 2144",4,3,2,708000,2019-12-17,-33.8599075115565,151.034442368445,1222.5618752164
"114","11/181 Auburn Rd Auburn 2144",2,1,2,580000,2019-12-09,-33.858219647714,151.030773944701,1044.97692582532
"115","2/4 Simpson Street Auburn 2144",3,1,2,625000,2019-12-09,-33.847183363441,151.040098728165,695.587728615992
"116","1/273-275 Park Rd Auburn 2144",3,2,2,635000,2019-11-29,-33.8703318330787,151.025674562448,2466.79457924359
"117","2/57 Harrow Rd Auburn 2144",2,1,1,6e+05,2019-11-15,-33.8557431306018,151.030135746594,792.949578737567
"118","4/1-3 KENNINGTON OVAL Auburn 2144",3,1,2,665000,2019-11-12,-33.8719987421632,151.021853839523,2756.32197280564
"119","2/23 Elsham Rd Auburn 2144",3,1,1,610000,2019-11-05,-33.8604346913567,151.034795749483,1284.91186134776
"120","2/167 Rawson Street Auburn 2144",4,1,1,650000,2019-11-04,-33.846597300771,151.030862289961,327.155143369656
"121","Unit 7/320 Chisholm Rd Auburn 2144",4,2,2,756000,2019-11-04,-33.871464982569,151.017474378933,2878.75897641245
"122","17 Coachwood Street Auburn 2144",3,2,2,738000,2019-10-14,-33.8736459537752,151.017618799125,3085.8643370845
"123","6/35 Elsham Road Auburn 2144",2,2,1,585000,2019-09-11,-33.8610523118922,151.034672451687,1351.62586528711
"124","2/11-13 Raglan road Auburn 2144",3,2,2,650000,2019-08-28,-33.8734114281244,151.0226279921,2878.58254704074
"125","2/11-13 Raglan Road Auburn 2144",3,2,2,650000,2019-08-27,-33.8734114281244,151.0226279921,2878.58254704074
"126","5/13 St Johns Rd Auburn 2144",4,3,1,8e+05,2019-08-16,-33.8712719473388,151.023935652815,2614.11894785623
"127","7/27-29 Hargrave Road Auburn 2144",4,3,2,650000,2019-08-08,-33.8604194362929,151.032031984549,1273.73600200917
"128","7/27-29 Hargrave Road Auburn 2144",4,2,2,650000,2019-08-07,-33.8604194362929,151.032031984549,1273.73600200917
"129","17 Castle St Auburn 2144",3,3,1,750000,2019-07-19,-33.873935632349,151.019801279073,3028.41212664484
"130","3/9 Raglan Road Auburn 2144",4,2,2,685000,2019-07-15,-33.873348438122,151.023006183572,2860.5959983696
"131","2/49 Harrow Road Auburn 2144",2,2,1,550000,2019-07-04,-33.8552561839368,151.03025376379,738.153686626689
"132","5/273-275 Park road Auburn 2144",3,2,2,660000,2019-06-21,-33.8703318330787,151.025674562448,2466.79457924359
"133","7/23 Elsham Rd Auburn 2144",3,1,1,615000,2019-05-20,-33.8604346913567,151.034795749483,1284.91186134776
"134","2/5 New Street Auburn 2144",3,1,1,602000,2019-03-13,-33.864862096433,151.023547319241,1966.06938721746
"135","12/58-60 Helena St Auburn 2144",3,1,3,680000,2019-03-05,-33.8579107326725,151.030780650224,1011.10286128223
"136","84 Princeton CCT Auburn 2144",3,3,2,765000,2019-02-18,-33.8732660440138,151.018547933092,3009.48965050469
"137","3/17 St Johns Road Auburn 2144",3,1,1,622000,2019-02-05,-33.87121298065,151.02350582882,2620.7902088594
"138","10/21 Hargrave Road Auburn 2144",3,1,1,640000,2018-08-13,-33.8600562903378,151.032106751125,1232.96332852798
"139","5/11 Raglan Road Auburn 2144",3,2,2,717000,2018-08-06,-33.8734114281244,151.0226279921,2878.58254704074
"140","3/42 Helena St Auburn 2144",3,2,2,835000,2018-07-18,-33.8576023624547,151.032826840427,957.634491947842
"141","15/17-21 Kirkham Road Auburn 2144",3,2,2,760000,2018-04-27,-33.8720158412457,151.020772993109,2796.62026797535
"142","1/202 Cumberland Road Auburn 2144",3,1,1,660000,2018-04-18,-33.8621313561975,151.023580679215,1696.7639939581
"143","2/42 Helena Street Auburn 2144",3,2,1,820000,2018-04-10,-33.8576023624547,151.032826840427,957.634491947842
"144","28/18 Cockthorpe Rd Auburn 2144",4,2,3,809000,2018-02-02,-33.8606154470987,151.035989248676,1324.18855919735
"145","3/14 Queen Street Auburn 2144",3,2,1,675000,2017-12-20,-33.8562649040745,151.03589453317,854.795975218101
"146","3/31-33 Elsham Road Auburn 2144",3,2,2,682000,2017-12-18,-33.8608035789155,151.034721653459,1324.71606993435
"147","6/1-3 Kennington Oval Auburn 2144",3,2,2,640000,2017-11-27,-33.8719987421632,151.021853839523,2756.32197280564
"148","29 COCKTHORPE ROAD Auburn 2144",4,3,2,886000,2017-11-18,-33.8602434582358,151.036894075124,1304.9433823572
"149","3/8-10 Edgar St Auburn 2144",4,2,2,858000,2017-11-08,-33.8555526518522,151.028095172266,854.044083546
"150","3/58-60 Helena St Auburn 2144",3,1,1,745000,2017-11-06,-33.8573175034753,151.030955077629,943.196857271077
"151","1/55-57 Susan St Auburn 2144",3,3,2,940000,2017-10-20,-33.8570242206832,151.032492234852,894.047243702101
"152","6/55-57 Susan St Auburn 2144",4,3,2,885000,2017-10-18,-33.8570242206832,151.032492234852,894.047243702101
"153","8/57 Harrow Road Auburn 2144",3,1,1,665000,2017-10-18,-33.8557431306018,151.030135746594,792.949578737567
"154","13 Palace St Auburn 2144",3,2,2,765000,2017-10-14,-33.8743898895916,151.020526565155,3049.0492783111
"155","3 Castle St Auburn 2144",3,2,1,730000,2017-10-11,-33.8734620967291,151.01988811559,2976.91865463762
"156","4/128 Auburn Road Auburn 2144",3,1,1,670000,2017-09-27,-33.8588287606178,151.031904076707,1097.99955047668
"157","3/64 Harrow Rd Auburn 2144",3,2,1,680000,2017-09-18,-33.8574419747374,151.03055500939,964.437100430219
"158","7/55-57 Susan St Auburn 2144",4,3,2,885000,2017-09-04,-33.8570242206832,151.032492234852,894.047243702101
"159","5 Palace Street Auburn 2144",3,2,2,790000,2017-08-28,-33.8741180225621,151.020569564319,3019.51463288005
"160","8/55-57 Susan St Auburn 2144",4,3,2,895000,2017-08-24,-33.8570242206832,151.032492234852,894.047243702101
"161","4/124-126 Auburn Rd Auburn 2144",3,3,2,835000,2017-08-14,-33.8583249663274,151.031805840801,1042.96714260109
"162","5/9 Raglan Road Auburn 2144",3,2,1,650000,2017-08-14,-33.873348438122,151.023006183572,2860.5959983696
"163","1/23 Elsham Road Auburn 2144",3,1,1,645000,2017-08-04,-33.8604346913567,151.034795749483,1284.91186134776
"164","7/69 Macquarie Rd Auburn 2144",3,3,1,680000,2017-07-21,-33.8436909177544,151.036498868389,678.230620062844
"165","49 Station Rd Auburn 2144",3,3,1,515000,2017-07-05,-33.8468924694913,151.037517353444,487.108474446538
"166","13/17 Macquarie Rd Auburn 2144",2,1,1,468000,2017-06-24,-33.8472476526384,151.033707275537,208.86077581674
"167","7/2A Gordon Rd Auburn 2144",3,1,2,695000,2017-06-20,-33.8556445594205,151.026929836267,922.896392670249
"168","2/75 Dartbrook Road Auburn 2144",2,1,1,470000,2017-06-19,-33.8472284161706,151.039104047715,606.537590758241
"169","1/13 St Johns Rd Auburn 2144",4,2,1,832000,2017-06-09,-33.8712719473388,151.023935652815,2614.11894785623
