"","X","address","bedroom","bathroom","carspace","soldprice","yearsold","latitude","longitude","distance_to_train_station"
"1",1,"5/1-3 Pegler Avenue Granville 2142",4,3,2,770000,"2023-03-02",-33.8513337885269,151.01025663829,2091.65597976355
"2",2,"13/104-110 Elizabeth Street Granville 2142",3,2,2,675000,"2023-01-17",-33.8375569991011,151.001992333216,1077.41268283089
"3",3,"3/149 Blaxcell Street Granville 2142",3,1,2,695000,"2022-12-09",-33.845268391932,151.01016393444,1420.42066811648
"4",4,"12/162 William Street Granville 2142",3,2,1,625000,"2022-11-07",-33.8349576032883,151.001456645784,1009.63267768776
"5",5,"1/9 Gray Street Granville 2142",3,2,2,661000,"2022-11-02",-33.8295241183739,151.01431314415,403.725692797222
"6",6,"3/18 The Trongate Granville 2142",2,1,2,573800,"2022-10-20",-33.8372765825304,151.012678421574,524.360739167702
"7",7,"1/1 Louis Street Granville 2142",3,2,2,740000,"2022-10-13",-33.8409834792097,151.010033176751,950.799369197655
"8",8,"11/63-65 Victoria Street Granville 2142",3,2,2,717500,"2022-08-17",-33.8278436306062,151.008964567915,599.277824058061
"9",9,"14/162 William Street Granville 2142",3,2,2,710000,"2022-08-04",-33.8349576032883,151.001456645784,1009.63267768776
"10",10,"13/162 William Street Granville 2142",3,2,2,680000,"2022-06-28",-33.8349576032883,151.001456645784,1009.63267768776
"11",11,"3/33 Louis Street Granville 2142",4,2,2,877000,"2022-05-27",-33.8404094026612,151.007813984066,951.612416435905
"12",12,"10/143 Blaxcell Street Granville 2142",2,2,1,610000,"2022-05-09",-33.8450683159032,151.01027390501,1397.11246145855
"13",13,"12/23 Elizabeth Street Granville 2142",3,2,2,770000,"2022-04-02",-33.8379177562138,151.008671117485,667.214910274387
"14",14,"1/27-29 John Street Granville 2142",3,2,2,770000,"2022-03-19",-33.8390696811672,151.008429048121,792.285885509715
"15",15,"14/104-110 Elizabeth Street Granville 2142",3,2,2,686000,"2022-02-04",-33.8375569991011,151.001992333216,1077.41268283089
"16",16,"14/104-110 Elizabeth Street Granville 2142",3,2,2,686000,"2022-02-04",-33.8375569991011,151.001992333216,1077.41268283089
"17",17,"11/33 Louis Street Granville 2142",4,2,2,825000,"2022-01-31",-33.8404094026612,151.007813984066,951.612416435905
"18",18,"3/166-168 The Trongate Granville 2142",3,2,2,710000,"2022-01-27",-33.8451853691811,151.01104260935,1403.79079352384
"19",19,"4/39-47 Wellington Road Granville 2142",2,2,1,590000,"2021-10-29",-33.8647576160099,151.0245913691,3764.28945963307
"20",20,"1/35-37 Wellington Road Granville 2142",3,2,2,664000,"2021-10-23",-33.8647576160099,151.0245913691,3764.28945963307
"21",21,"7/9 Gray Street Granville 2142",3,2,2,685000,"2021-10-09",-33.8295241183739,151.01431314415,403.725692797222
"22",22,"5/43 Crown Street Granville 2142",2,1,1,535000,"2021-10-01",-33.8256963546508,150.995455873662,1712.06568244794
"23",23,"9/63-65 Victoria St. Granville 2142",5,3,2,850000,"2021-09-26",-33.8278436306062,151.008964567915,599.277824058061
"24",24,"9/39-47 Wellington Road Granville 2142",2,2,1,550000,"2021-09-03",-33.8647576160099,151.0245913691,3764.28945963307
"25",25,"5/19-21 Lavinia Street Granville 2142",3,2,1,750000,"2021-08-23",-33.8492675111234,151.007840298674,1894.86212713316
"26",26,"14/26-30 Elizabeth Street Granville 2142",3,2,1,705000,"2021-07-09",-33.8385179004811,151.007815576628,763.99851043261
"27",27,"11/63-65 Victoria Street Granville 2142",3,2,2,685000,"2021-07-08",-33.8278436306062,151.008964567915,599.277824058061
"28",28,"5/27-29 John Street Granville 2142",3,2,3,734000,"2021-07-03",-33.8390696811672,151.008429048121,792.285885509715
"29",29,"12/63-65 Victoria Street Granville 2142",3,2,2,690000,"2021-07-01",-33.8278436306062,151.008964567915,599.277824058061
"30",30,"21/33 Louis Street Granville 2142",3,2,2,825000,"2021-06-16",-33.8404094026612,151.007813984066,951.612416435905
"31",31,"1/48 Pegler Avenue Granville 2142",3,2,2,690000,"2021-05-22",-33.8543410477482,151.008940344215,2436.67921982962
"32",32,"2/335-339 Blaxcell St Granville 2142",3,2,1,637500,"2021-03-15",-33.8560227508918,151.008054963782,2632.79689645462
"33",33,"4/39-47 Wellington Road Granville 2142",2,2,1,550777,"2021-01-29",-33.8647576160099,151.0245913691,3764.28945963307
"34",34,"4/32 alfred st Granville 2142",4,2,1,723000,"2020-12-24",-33.829587820838,151.014903816867,429.579153241644
"35",35,"3/87 Good Street Granville 2142",3,3,2,781000,"2020-11-28",-33.8288303901576,151.012988971087,429.480650683025
"36",36,"13/335 Blaxcell Street Granville 2142",3,2,2,630000,"2020-11-20",-33.8368939007568,151.01153018857,479.9648868143
"37",37,"6/317 Blaxcell Street Granville 2142",3,2,2,650000,"2020-11-13",-33.8366794976577,151.010380522818,478.18046005274
"38",38,"3/151 Blaxcell Street Granville 2142",3,3,2,655000,"2020-10-30",-33.845508533458,151.010116409049,1447.48712720696
"39",39,"3/104-110 Elizabeth Street Granville 2142",3,2,2,643000,"2020-10-02",-33.8375569991011,151.001992333216,1077.41268283089
"40",40,"16/162 William Street Granville 2142",3,2,2,638000,"2020-08-20",-33.8349576032883,151.001456645784,1009.63267768776
"41",41,"2/166-168 The Trongate Granville 2142",3,2,2,677000,"2020-07-07",-33.8451853691811,151.01104260935,1403.79079352384
"42",42,"16/63-65 Victoria Street Granville 2142",3,2,2,715000,"2020-06-16",-33.8278436306062,151.008964567915,599.277824058061
"43",43,"6/1-3 Louis Street Granville 2142",3,2,1,695000,"2020-04-02",-33.8409834792097,151.010033176751,950.799369197655
"44",44,"4/1 Louis Street Granville 2142",3,3,2,720000,"2020-02-06",-33.8409834792097,151.010033176751,950.799369197655
"45",45,"7/35 wellington Street Granville 2142",3,2,1,555000,"2019-07-23",-33.8624404388771,151.011212175252,3322.62090795611
"46",46,"4/26-30 Elizabeth Street Granville 2142",3,2,2,635000,"2019-05-10",-33.8383679482333,151.008097795308,736.523134147603
"47",47,"6/39 Wellington Road Granville 2142",2,2,1,430000,"2019-04-29",-33.8647576160099,151.0245913691,3764.28945963307
"48",48,"5/39-47 Wellington Road Granville 2142",2,2,1,460000,"2019-04-03",-33.8647576160099,151.0245913691,3764.28945963307
"49",49,"4/124 Railway Street Granville 2142",2,2,1,510000,"2018-12-20",-33.8260890468145,150.996451057026,1610.20647995469
"50",50,"3/335-339 Blaxcell Street Granville 2142",3,2,1,6e+05,"2018-10-07",-33.8560227508918,151.008054963782,2632.79689645462
"51",51,"4/143-145 Blaxcell Street Granville 2142",3,2,1,676500,"2018-05-29",-33.8450683159032,151.01027390501,1397.11246145855
"52",52,"14/335-339 Blaxcell Street Granville 2142",3,2,2,649999,"2018-04-30",-33.8560227508918,151.008054963782,2632.79689645462
"53",53,"3/17-19 Wallace Street Granville 2142",3,2,2,685000,"2018-04-07",-33.8301307167067,151.002083360684,957.312828382723
"54",54,"11/104 Elizabeth St Granville 2142",3,2,2,678000,"2017-09-25",-33.8375569991011,151.001992333216,1077.41268283089
"55",55,"2/289 Clyde Street Granville 2142",3,2,1,650000,"2017-07-31",-33.836647131265,151.014740651181,516.908556874759
"56",56,"Unit 12/104-110 Elizabeth Street Granville 2142",3,2,2,690000,"2017-07-21",-33.8375569991011,151.001992333216,1077.41268283089
"57",57,"1/289 Clyde Street Granville 2142",3,2,2,640000,"2017-06-21",-33.8366659027799,151.014876745279,524.993578796612
"58",58,"11/162 William Street Granville 2142",3,2,2,635000,"2017-06-19",-33.8349576032883,151.001456645784,1009.63267768776
"59",59,"7/9 Gray Street Granville 2142",3,2,2,720000,"2017-06-03",-33.8295241183739,151.01431314415,403.725692797222
"60",60,"4/39-47 Wellington Road Granville 2142",2,2,1,518000,"2017-05-09",-33.8647576160099,151.0245913691,3764.28945963307
"61",61,"14/162 William Street Granville 2142",3,2,2,635000,"2017-03-31",-33.8349576032883,151.001456645784,1009.63267768776
"62",62,"14/162 William Street Granville 2142",3,2,2,635000,"2017-03-31",-33.8349576032883,151.001456645784,1009.63267768776
"63",63,"1/335-339 Blaxcell Street Granville 2142",2,1,1,527000,"2017-02-04",-33.8560227508918,151.008054963782,2632.79689645462
"64",64,"4/151 Blaxcell St Granville 2142",3,2,2,680000,"2017-01-06",-33.845508533458,151.010116409049,1447.48712720696
"65",65,"5/26-30 Elizabeth Street Granville 2142",3,2,2,720000,"2016-09-03",-33.8384327403449,151.008082540244,743.505491702188
"66",66,"2/1-3 Louis Street Granville 2142",3,2,2,725000,"2016-07-29",-33.8409834792097,151.010033176751,950.799369197655
"67",67,"7/54 William Street Granville 2142",2,2,1,530000,"2016-07-04",-33.8365131587891,151.011875602888,435.762686363722
"68",68,"4/63-65 Victoria Street Granville 2142",3,2,2,725000,"2016-06-24",-33.8278436306062,151.008964567915,599.277824058061
"69",69,"Unit 1/9 Gray Street Granville 2142",3,2,2,696000,"2016-01-30",-33.8295241183739,151.01431314415,403.725692797222
"70",70,"5/149 Blaxcell Street Granville 2142",3,1,2,590000,"2016-01-12",-33.845268391932,151.01016393444,1420.42066811648
"71",71,"Unit 7/34-38 Elizabeth Street Granville 2142",3,2,3,690000,"2015-10-31",-33.8383173215381,151.007460938304,762.381075750378
"72",72,"8/35 Wellington Road Granville 2142",2,2,1,562080,"2015-10-19",-33.8647576160099,151.0245913691,3764.28945963307
"73",73,"4/28 Inkerman Street Granville 2142",3,2,1,795000,"2015-10-03",-33.8254379405759,151.000685091596,1315.46664698383
"74",74,"12/143-145 Blaxcell Street Granville 2142",3,3,2,753500,"2015-09-25",-33.8450683159032,151.01027390501,1397.11246145855
"75",75,"15/23 Elizabeth St Granville 2142",3,2,2,785000,"2015-09-16",-33.8379070692872,151.008241628766,685.41536827931
"76",76,"8/50 William Street Granville 2142",2,1,1,550000,"2015-09-09",-33.8366590039044,151.012361334177,453.07986812301
"77",77,"2/162 William Street Granville 2142",3,2,2,649500,"2015-09-04",-33.8349576032883,151.001456645784,1009.63267768776
"78",78,"5/335-339 Blaxcell Street Granville 2142",3,2,1,555000,"2015-05-23",-33.8560227508918,151.008054963782,2632.79689645462
"79",79,"6/54 William Street Granville 2142",2,1,1,510000,"2015-04-29",-33.8365131587891,151.011875602888,435.762686363722
"80",80,"7/17-19 Wallace Street Granville 2142",3,2,2,680000,"2015-04-17",-33.8301307167067,151.002083360684,957.312828382723
"81",81,"Unit 9/26-30 Elizabeth Street Granville 2142",3,2,2,665000,"2015-03-28",-33.83821414031,151.007874082312,732.207783982489
"82",82,"Unit 4/17-19 Brussels Street Granville 2142",3,2,2,540000,"2015-03-28",-33.8517178892399,151.013201033237,2131.08886232208
"83",83,"3/92-94 Clyde Street Granville 2142",3,2,2,621000,"2015-03-13",-33.8422258029888,151.013233387383,1077.59128540409
"84",84,"Unit 10/36-40 Louis Street Granville 2142",3,2,2,652000,"2015-02-21",-33.8414133451141,151.007106132343,1080.42446755808
"85",85,"7/104-110 Elizabeth Street Granville 2142",4,3,4,655000,"2015-02-10",-33.8375569991011,151.001992333216,1077.41268283089
"86",86,"2/1 Pegler Avenue Granville 2142",3,2,1,565000,"2014-11-24",-33.8513337885269,151.01025663829,2091.65597976355
"87",87,"Unit 1/104-110 Elizabeth Street Granville 2142",4,4,3,720000,"2014-11-08",-33.8375569991011,151.001992333216,1077.41268283089
"88",88,"7/151-155 Blaxcelell Street Granville 2142",3,2,1,517000,"2014-10-09",-33.845508533458,151.010116409049,1447.48712720696
"89",89,"1/166-168 The Trongate Granville 2142",3,2,2,597000,"2014-09-27",-33.8451853691811,151.01104260935,1403.79079352384
"90",90,"7/151-155 Blaxcell Street Granville 2142",3,2,1,517000,"2014-09-10",-33.845508533458,151.010116409049,1447.48712720696
"91",91,"Unit 7/40 Elizabeth Street Granville 2142",3,2,2,530000,"2014-08-30",-33.8382643898196,151.007082495376,777.404683972067
"92",92,"8/151-155 BLAXCELL STREET Granville 2142",3,2,2,510000,"2014-06-28",-33.845508533458,151.010116409049,1447.48712720696
"93",93,"Unit 10/110 Elizabeth Street Granville 2142",3,2,2,495000,"2014-06-27",-33.8375569991011,151.001992333216,1077.41268283089
"94",94,"1/1 Pegler Avenue Granville 2142",3,1,1,515000,"2014-06-13",-33.8513337885269,151.01025663829,2091.65597976355
"95",95,"19/162 William Street Granville 2142",3,2,2,502000,"2014-05-26",-33.8349576032883,151.001456645784,1009.63267768776
"96",96,"6/151 Blaxcell Street Granville 2142",3,2,1,503000,"2014-05-17",-33.845508533458,151.010116409049,1447.48712720696
"97",97,"Unit 5/104 Elizabeth Street Granville 2142",3,2,2,518000,"2014-05-02",-33.8375569991011,151.001992333216,1077.41268283089
"98",98,"6/143-145 Blaxcell Street Granville 2142",2,2,1,424000,"2014-04-09",-33.8450683159032,151.01027390501,1397.11246145855
"99",99,"5/335-339 BLAXCELL STREET Granville 2142",3,2,1,392000,"2014-03-15",-33.8560227508918,151.008054963782,2632.79689645462
"100",100,"14/39-47 Wellington Road Granville 2142",3,2,2,441000,"2014-03-14",-33.8647576160099,151.0245913691,3764.28945963307
"101",101,"6/335-339 Blaxcell St Granville 2142",3,3,1,460000,"2014-02-25",-33.8560227508918,151.008054963782,2632.79689645462
"102",102,"1/149 Blaxcell Street Granville 2142",3,1,2,412000,"2013-12-08",-33.845268391932,151.01016393444,1420.42066811648
"103",103,"6/23 Elizabeth Street Granville 2142",3,2,2,869800,"2013-12-01",-33.8374863396573,151.008836995349,617.589296214132
"104",104,"4/104-110 Elizabeth Street Granville 2142",3,2,2,485000,"2013-11-22",-33.8375569991011,151.001992333216,1077.41268283089
"105",105,"5/9 Gray Street Granville 2142",2,1,2,475000,"2013-11-11",-33.8295241183739,151.01431314415,403.725692797222
"106",106,"10/39 Wellington Road Granville 2142",2,2,1,370000,"2013-10-04",-33.8647576160099,151.0245913691,3764.28945963307
"107",107,"8/117 John Street Granville 2142",4,2,2,525000,"2013-09-28",-33.8383539676057,151.001081131521,1195.67003292185
"108",108,"16/104-110 Elizabeth Street Granville 2142",2,1,2,460200,"2013-09-20",-33.8375569991011,151.001992333216,1077.41268283089
"109",109,"16/104 Elizabeth Street Granville 2142",2,1,2,460200,"2013-09-20",-33.8375569991011,151.001992333216,1077.41268283089
"110",110,"1/92 Clyde Street Granville 2142",3,2,1,480150,"2013-09-18",-33.8422258029888,151.013233387383,1077.59128540409
"111",111,"2/40-42 Elizabeth Street Granville 2142",3,1,2,310000,"2013-08-27",-33.8382643898196,151.007082495376,777.404683972067
"112",112,"7/143-145 Blaxcell Street Granville 2142",2,2,1,410000,"2013-08-27",-33.8450683159032,151.01027390501,1397.11246145855
"113",113,"7/143 Blaxcell Street Granville 2142",2,2,1,412000,"2013-08-27",-33.8450683159032,151.01027390501,1397.11246145855
"114",114,"4/317 Blaxcell Street Granville 2142",2,1,1,340000,"2013-08-09",-33.8362561696378,151.011013607965,417.09773619893
"115",115,"4/317 BLAXCELL ST Granville 2142",2,1,1,340000,"2013-08-09",-33.8362561696378,151.011013607965,417.09773619893
"116",116,"2 Granville 2142",3,2,2,548000,"2013-08-01",-33.838421497174,151.015144777405,710.295947840684
"117",117,"2/40 Elizabeth Street Granville 2142",3,2,2,675000,"2013-08-01",-33.8382643898196,151.007082495376,777.404683972067
"118",118,"T2/25-27 Dixmude Street Granville 2142",5,2,2,595000,"2013-07-08",-33.8547335303643,151.013563885825,2468.13238857358
"119",119,"3/63 Victoria Street Granville 2142",4,3,2,570000,"2013-07-01",-33.8278436306062,151.008964567915,599.277824058061
"120",120,"63-65 Victoria Street Granville 2142",3,2,2,488000,"2013-07-01",-33.8278436306062,151.008964567915,599.277824058061
"121",121,"14/335 Blaxcell Street Granville 2142",3,2,2,425000,"2013-05-06",-33.8369180047125,151.010833816142,492.62514833426
"122",122,"15/39-47 Wellington Road Granville 2142",3,2,1,365000,"2013-04-20",-33.8647576160099,151.0245913691,3764.28945963307
"123",123,"15/39-47 Wellington Rd Granville 2142",3,2,1,365000,"2013-04-20",-33.8647576160099,151.0245913691,3764.28945963307
"124",124,"11/23 Elizabeth Street Granville 2142",3,2,1,487000,"2013-04-11",-33.8378594600772,151.008718726695,659.427018642967
"125",125,"1/18-22 HIGH STREET Granville 2142",3,1,1,415000,"2013-04-05",-33.8256626594,151.005703923761,967.143256937522
"126",126,"39 Wellington Road Granville 2142",3,1,2,365000,"2013-04-01",-33.8647576160099,151.0245913691,3764.28945963307
"127",127,"2/23-25 John Street Granville 2142",3,2,2,466000,"2013-03-16",-33.8391162845488,151.008751835212,785.109472542868
"128",128,"2/23 John Street Granville 2142",3,NA,NA,466000,"2013-03-01",-33.8391162845488,151.008751835212,785.109472542868
"129",129,"13/26 Elizabeth Street Granville 2142",3,1,1,430000,"2013-02-01",-33.8384619931869,151.00782580255,758.156873478577
"130",130,"1/15 Marsden Street Granville 2142",2,1,1,298000,"2012-12-01",-33.8258221251079,151.000237917062,1323.75470744781
"131",131,"9/23 Elizabeth Street Granville 2142",3,2,2,498000,"2012-12-01",-33.8377490285028,151.008740854919,647.582394105911
"132",132,"2/143 Blaxcell Street Granville 2142",3,2,2,4e+05,"2012-11-28",-33.8450683159032,151.01027390501,1397.11246145855
"133",133,"9/104-110 Elizabeth Street Granville 2142",3,2,2,425000,"2012-09-24",-33.8375569991011,151.001992333216,1077.41268283089
"134",134,"2/43 Crown Street Granville 2142",2,2,1,370000,"2012-09-14",-33.8256963546508,150.995455873662,1712.06568244794
"135",135,"5/166-168 The Trongate Granville 2142",3,2,2,458000,"2012-07-31",-33.8451853691811,151.01104260935,1403.79079352384
"136",136,"5/166 The Trongate Granville 2142",3,2,2,458000,"2012-07-31",-33.8451853691811,151.01104260935,1403.79079352384
"137",137,"7/54 William Street Granville 2142",2,1,1,350000,"2012-07-25",-33.8365131587891,151.011875602888,435.762686363722
"138",138,"7/335-339 Blaxcell Street Granville 2142",3,2,2,390000,"2012-07-14",-33.8560227508918,151.008054963782,2632.79689645462
"139",139,"7/335-339 Blaxcell St Granville 2142",3,2,2,390000,"2012-07-14",-33.8560227508918,151.008054963782,2632.79689645462
"140",140,"5/43 Crown Street Granville 2142",2,1,1,6e+05,"2012-07-01",-33.8256963546508,150.995455873662,1712.06568244794
"141",141,"1/43 Crown Street Granville 2142",2,2,1,620000,"2012-07-01",-33.8256963546508,150.995455873662,1712.06568244794
"142",142,"4/43 Crown Street Granville 2142",2,2,1,615000,"2012-07-01",-33.8256963546508,150.995455873662,1712.06568244794
"143",143,"1/92-94 Clyde Street Granville 2142",3,2,1,415000,"2012-06-29",-33.8422258029888,151.013233387383,1077.59128540409
"144",144,"3/104-110 Elizabeth Street Granville 2142",3,2,2,432000,"2012-06-21",-33.8375569991011,151.001992333216,1077.41268283089
"145",145,"10/104 Elizabeth Street Granville 2142",3,2,2,420000,"2012-06-12",-33.8375569991011,151.001992333216,1077.41268283089
"146",146,"10/104-110 Elizabeth Street Granville 2142",3,2,2,420000,"2012-06-12",-33.8375569991011,151.001992333216,1077.41268283089
"147",147,"11/143-145 Blaxcell Street Granville 2142",3,3,2,395000,"2012-06-09",-33.8450683159032,151.01027390501,1397.11246145855
"148",148,"11/143 Blaxcell Street Granville 2142",3,3,2,395000,"2012-06-09",-33.8450683159032,151.01027390501,1397.11246145855
"149",149,"8/17-19 Wallace Street Granville 2142",3,2,2,382000,"2012-06-01",-33.8301307167067,151.002083360684,957.312828382723
"150",150,"5/140 The Trongate Granville 2142",4,2,1,450000,"2012-05-09",-33.8434157817827,151.011409820528,1205.24334895959
"151",151,"5/36 Louis Street Granville 2142",3,2,2,685000,"2012-05-01",-33.8414133451141,151.007106132343,1080.42446755808
"152",152,"6/43 Crown Street Granville 2142",2,2,1,375000,"2012-04-16",-33.8256963546508,150.995455873662,1712.06568244794
"153",153,"1/50 William Street Granville 2142",2,1,1,525000,"2012-04-01",-33.8366590039044,151.012361334177,453.07986812301
